,bid,element1,name1,percent1,element2,name2,percent2,element3,name3,percent3
0,1,600,Marine deepwater community,0.97,608.0,Low salt marsh community,0.01,602.0,Marine intertidal mudflat community,0.01
1,2,600,Marine deepwater community,0.81,602.0,Marine intertidal mudflat community,0.1,608.0,Low salt marsh community,0.08
2,3,600,Marine deepwater community,0.9400000000000001,602.0,Marine intertidal mudflat community,0.03,608.0,Low salt marsh community,0.02
3,4,600,Marine deepwater community,0.84,602.0,Marine intertidal mudflat community,0.09,608.0,Low salt marsh community,0.03
4,5,728,Appalachian oak-hickory forest community,0.51,647.0,Hemlock-northern hardwood forest community,0.11,608.0,Low salt marsh community,0.11
5,6,728,Appalachian oak-hickory forest community,0.5700000000000001,647.0,Hemlock-northern hardwood forest community,0.27,645.0,Oak-tulip tree forest community,0.09
6,7,600,Marine deepwater community,0.59,644.0,Coastal oak-hickory forest community,0.14,603.0,Marine gravel/sand beach community,0.12
7,8,600,Marine deepwater community,0.7000000000000001,602.0,Marine intertidal mudflat community,0.18,603.0,Marine gravel/sand beach community,0.11
8,9,600,Marine deepwater community,0.92,602.0,Marine intertidal mudflat community,0.08,,,0.0
9,10,600,Marine deepwater community,0.98,602.0,Marine intertidal mudflat community,0.02,,,0.0
10,11,602,Marine intertidal mudflat community,0.48,603.0,Marine gravel/sand beach community,0.2,606.0,Tidal creek community,0.18
11,12,608,Low salt marsh community,0.34,602.0,Marine intertidal mudflat community,0.25,632.0,Maritime beach community,0.23
12,13,615,Salt shrub community,0.47000000000000003,632.0,Maritime beach community,0.26,728.0,Appalachian oak-hickory forest community,0.2
13,14,728,Appalachian oak-hickory forest community,0.5,608.0,Low salt marsh community,0.27,615.0,Salt shrub community,0.11
14,15,609,High salt marsh community,0.52,728.0,Appalachian oak-hickory forest community,0.24,606.0,Tidal creek community,0.12
15,16,728,Appalachian oak-hickory forest community,0.72,603.0,Marine gravel/sand beach community,0.15,721.0,Maritime bluffs community,0.06
16,17,728,Appalachian oak-hickory forest community,1.03,,,0.0,,,0.0
17,18,600,Marine deepwater community,1.02,603.0,Marine gravel/sand beach community,0.01,,,0.0
18,19,600,Marine deepwater community,1.0,,,0.0,,,0.0
19,20,600,Marine deepwater community,1.01,,,0.0,,,0.0
20,21,600,Marine deepwater community,1.01,,,0.0,,,0.0
21,22,600,Marine deepwater community,0.5700000000000001,603.0,Marine gravel/sand beach community,0.25,728.0,Appalachian oak-hickory forest community,0.08
22,23,728,Appalachian oak-hickory forest community,0.49,721.0,Maritime bluffs community,0.38,632.0,Maritime beach community,0.08
23,24,728,Appalachian oak-hickory forest community,1.01,,,0.0,,,0.0
24,25,728,Appalachian oak-hickory forest community,0.98,,,0.0,,,0.0
25,26,728,Appalachian oak-hickory forest community,0.97,645.0,Oak-tulip tree forest community,0.01,615.0,Salt shrub community,0.01
26,27,728,Appalachian oak-hickory forest community,0.56,645.0,Oak-tulip tree forest community,0.27,730.0,Successional fern meadow community,0.1
27,28,609,High salt marsh community,0.35000000000000003,728.0,Appalachian oak-hickory forest community,0.24,645.0,Oak-tulip tree forest community,0.16
28,29,609,High salt marsh community,0.47000000000000003,728.0,Appalachian oak-hickory forest community,0.38,615.0,Salt shrub community,0.1
29,30,728,Appalachian oak-hickory forest community,0.9500000000000001,645.0,Oak-tulip tree forest community,0.06,,,0.0
30,31,728,Appalachian oak-hickory forest community,0.98,,,0.0,,,0.0
31,32,603,Marine gravel/sand beach community,0.33,615.0,Salt shrub community,0.27,632.0,Maritime beach community,0.23
32,33,632,Maritime beach community,0.72,603.0,Marine gravel/sand beach community,0.25,602.0,Marine intertidal mudflat community,0.02
33,34,602,Marine intertidal mudflat community,0.51,603.0,Marine gravel/sand beach community,0.24,600.0,Marine deepwater community,0.2
34,35,600,Marine deepwater community,0.7000000000000001,602.0,Marine intertidal mudflat community,0.29,,,0.0
35,36,600,Marine deepwater community,1.03,,,0.0,,,0.0
36,37,600,Marine deepwater community,1.01,,,0.0,,,0.0
37,38,600,Marine deepwater community,0.9500000000000001,,,0.0,,,0.0
38,39,600,Marine deepwater community,1.0,,,0.0,,,0.0
39,40,600,Marine deepwater community,0.62,602.0,Marine intertidal mudflat community,0.33,606.0,Tidal creek community,0.03
40,41,728,Appalachian oak-hickory forest community,0.68,603.0,Marine gravel/sand beach community,0.13,602.0,Marine intertidal mudflat community,0.1
41,42,728,Appalachian oak-hickory forest community,0.41000000000000003,645.0,Oak-tulip tree forest community,0.16,603.0,Marine gravel/sand beach community,0.11
42,43,645,Oak-tulip tree forest community,0.22,606.0,Tidal creek community,0.21,608.0,Low salt marsh community,0.18
43,44,728,Appalachian oak-hickory forest community,1.01,,,0.0,,,0.0
44,45,728,Appalachian oak-hickory forest community,0.71,645.0,Oak-tulip tree forest community,0.28,730.0,Successional fern meadow community,0.01
45,46,728,Appalachian oak-hickory forest community,1.01,,,0.0,,,0.0
46,47,728,Appalachian oak-hickory forest community,1.0,,,0.0,,,0.0
47,48,728,Appalachian oak-hickory forest community,0.98,,,0.0,,,0.0
48,49,728,Appalachian oak-hickory forest community,1.02,,,0.0,,,0.0
49,50,728,Appalachian oak-hickory forest community,1.03,,,0.0,,,0.0
50,51,728,Appalachian oak-hickory forest community,0.68,721.0,Maritime bluffs community,0.25,615.0,Salt shrub community,0.04
51,52,728,Appalachian oak-hickory forest community,0.67,721.0,Maritime bluffs community,0.22,615.0,Salt shrub community,0.04
52,53,603,Marine gravel/sand beach community,0.48,600.0,Marine deepwater community,0.47000000000000003,615.0,Salt shrub community,0.03
53,54,600,Marine deepwater community,0.6000000000000001,603.0,Marine gravel/sand beach community,0.34,632.0,Maritime beach community,0.03
54,55,600,Marine deepwater community,1.0,,,0.0,,,0.0
55,56,600,Marine deepwater community,1.0,,,0.0,,,0.0
56,57,600,Marine deepwater community,1.0,,,0.0,,,0.0
57,58,600,Marine deepwater community,0.49,728.0,Appalachian oak-hickory forest community,0.27,603.0,Marine gravel/sand beach community,0.16
58,59,728,Appalachian oak-hickory forest community,0.87,645.0,Oak-tulip tree forest community,0.15,,,0.0
59,60,728,Appalachian oak-hickory forest community,0.9,645.0,Oak-tulip tree forest community,0.1,740.0,Successional blueberry heath community,0.01
60,61,645,Oak-tulip tree forest community,0.65,728.0,Appalachian oak-hickory forest community,0.28,740.0,Successional blueberry heath community,0.06
61,62,645,Oak-tulip tree forest community,0.9400000000000001,728.0,Appalachian oak-hickory forest community,0.06,740.0,Successional blueberry heath community,0.01
62,63,730,Successional fern meadow community,0.48,645.0,Oak-tulip tree forest community,0.44,647.0,Hemlock-northern hardwood forest community,0.03
63,64,728,Appalachian oak-hickory forest community,0.68,645.0,Oak-tulip tree forest community,0.32,,,0.0
64,65,728,Appalachian oak-hickory forest community,0.74,645.0,Oak-tulip tree forest community,0.22,721.0,Maritime bluffs community,0.02
65,66,728,Appalachian oak-hickory forest community,0.6900000000000001,615.0,Salt shrub community,0.12,609.0,High salt marsh community,0.12
66,67,602,Marine intertidal mudflat community,0.31,603.0,Marine gravel/sand beach community,0.23,600.0,Marine deepwater community,0.21
67,68,600,Marine deepwater community,0.98,,,0.0,,,0.0
68,69,600,Marine deepwater community,1.0,,,0.0,,,0.0
69,70,600,Marine deepwater community,1.0,,,0.0,,,0.0
70,71,728,Appalachian oak-hickory forest community,1.0,,,0.0,,,0.0
71,72,728,Appalachian oak-hickory forest community,1.01,,,0.0,,,0.0
72,73,728,Appalachian oak-hickory forest community,0.98,,,0.0,,,0.0
73,74,728,Appalachian oak-hickory forest community,0.63,645.0,Oak-tulip tree forest community,0.35000000000000003,740.0,Successional blueberry heath community,0.04
74,75,728,Appalachian oak-hickory forest community,0.87,645.0,Oak-tulip tree forest community,0.12,,,0.0
75,76,728,Appalachian oak-hickory forest community,1.0,,,0.0,,,0.0
76,77,600,Marine deepwater community,0.99,,,0.0,,,0.0
77,78,728,Appalachian oak-hickory forest community,0.99,615.0,Salt shrub community,0.01,,,0.0
78,79,728,Appalachian oak-hickory forest community,1.0,,,0.0,,,0.0
79,80,728,Appalachian oak-hickory forest community,1.02,,,0.0,,,0.0
80,81,728,Appalachian oak-hickory forest community,1.01,,,0.0,,,0.0
81,82,728,Appalachian oak-hickory forest community,0.62,645.0,Oak-tulip tree forest community,0.31,740.0,Successional blueberry heath community,0.07
82,83,728,Appalachian oak-hickory forest community,0.99,,,0.0,,,0.0
83,84,728,Appalachian oak-hickory forest community,0.99,,,0.0,,,0.0
84,85,728,Appalachian oak-hickory forest community,0.99,,,0.0,,,0.0
85,86,728,Appalachian oak-hickory forest community,0.51,625.0,Shrub swamp community,0.19,645.0,Oak-tulip tree forest community,0.07
86,87,728,Appalachian oak-hickory forest community,0.96,615.0,Salt shrub community,0.05,,,0.0
87,88,600,Marine deepwater community,1.02,,,0.0,,,0.0
88,89,600,Marine deepwater community,1.0,,,0.0,,,0.0
89,90,604,Marine rocky intertidal community,0.6000000000000001,600.0,Marine deepwater community,0.33,606.0,Tidal creek community,0.04
90,91,728,Appalachian oak-hickory forest community,0.85,645.0,Oak-tulip tree forest community,0.17,,,0.0
91,92,728,Appalachian oak-hickory forest community,0.62,645.0,Oak-tulip tree forest community,0.30000000000000004,648.0,Successional old field community,0.04
92,93,604,Marine rocky intertidal community,0.78,600.0,Marine deepwater community,0.17,615.0,Salt shrub community,0.07
93,94,600,Marine deepwater community,1.0,,,0.0,,,0.0
